X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
-1716.0,-1700.0,-112.888,9.90236e-07,86.3293,-53.8232,93.6707,-110.917,-1690.02,-1735.53,-1690.02,-1735.53
-1714.0,-1700.0,-142.275,9.27159e-07,86.0791,51.574,93.9209,-125.436,-1743.55,-1701.73,-1713.99,-1699.99
-1712.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1710.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1708.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1706.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1704.0,-1700.0,-120.077,9.43261e-07,86.1462,-43.9414,93.8538,-107.942,-1674.09,-1728.82,-1674.09,-1728.82
-1702.0,-1700.0,-120.652,9.38478e-07,86.1265,-44.2248,93.8735,-107.659,-1672.74,-1728.48,-1672.74,-1728.48
-1700.0,-1700.0,-119.784,9.33718e-07,86.1067,-44.5111,93.8933,-107.373,-1671.38,-1728.14,-1671.38,-1728.14
-1698.0,-1700.0,-118.192,9.28982e-07,86.0869,-44.8003,93.9131,-107.083,-1670.01,-1727.8,-1670.01,-1727.8
-1696.0,-1700.0,-130.601,9.24292e-07,86.067,-46.0737,93.933,-106.949,-1669.38,-1727.64,-1669.38,-1727.64
-1694.0,-1700.0,-137.72,9.19766e-07,86.0476,-48.3038,93.9524,-106.949,-1669.38,-1727.64,-1669.38,-1727.64
-1692.0,-1700.0,-117.457,1.06708e-06,86.5939,-113.371,93.4061,-113.366,-1706.46,-1746.4,-1709.56,-1740.63
-1690.0,-1700.0,-116.401,1.06974e-06,86.6024,-113.699,93.3976,-113.695,-1708.17,-1746.48,-1709.41,-1744.21
-1688.0,-1700.0,-132.944,1.07245e-06,86.611,-114.606,93.389,-113.912,-1709.31,-1746.53,-1709.31,-1746.53
-1686.0,-1700.0,-141.668,1.07533e-06,86.6201,-116.608,93.3799,-113.912,-1709.31,-1746.53,-1709.31,-1746.53
-1684.0,-1700.0,-131.82,1.07824e-06,90.4831,-114.198,93.8618,-114.776,-1709.69,-1737.64,-1698.95,-1733.26
-1682.0,-1700.0,-136.756,1.08107e-06,90.5194,-115.893,93.8517,-114.776,-1709.69,-1737.64,-1697.83,-1732.61
-1680.0,-1700.0,-129.011,7.46051e-07,85.1253,123.536,94.8747,-115.477,-1688.9,-1686.57,-1688.9,-1686.57
-1678.0,-1700.0,-138.093,9.83348e-07,86.3035,83.6074,93.6965,-104.613,-1661.55,-1736.07,-1677.38,-1694.44
-1676.0,-1700.0,-153.745,9.5727e-07,86.2027,-44.247,93.7973,-99.9668,-1641.12,-1733.98,-1641.12,-1733.98
-1674.0,-1700.0,-154.176,1.09654e-06,86.6855,-127.194,93.3145,-113.912,-1709.31,-1746.53,-1709.31,-1746.53
-1672.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1670.0,-1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1668.0,-1700.0,-144.565,9.70976e-07,86.2563,-59.6154,93.7437,-100.523,-1644.57,-1739.95,-1644.57,-1739.95
-1666.0,-1700.0,-140.921,9.67717e-07,86.2437,-61.7963,93.7563,-100.523,-1644.57,-1739.95,-1644.57,-1739.95
-1664.0,-1700.0,-133.992,9.64687e-07,86.2319,-64.0699,93.7681,-100.523,-1644.57,-1739.95,-1644.57,-1739.95
-1662.0,-1700.0,-112.345,9.31425e-07,86.0971,-73.6191,93.9029,-102.325,-1651.5,-1735.71,-1651.5,-1735.71
-1660.0,-1700.0,-112.385,9.29569e-07,86.0893,-74.0146,93.9107,-101.93,-1649.79,-1735.65,-1649.79,-1735.65
-1658.0,-1700.0,-127.657,9.56555e-07,85.4942,-66.6641,93.6751,-99.7017,-1640.95,-1739.52,-1640.95,-1739.52
-1656.0,-1700.0,-135.246,9.34099e-07,85.3998,71.4656,93.7656,-99.6225,-1639.64,-1733.8,-1655.16,-1697.48
