X-coordinate,Y-coordinate,Channel Gain,Time Delay,AoA_theta,AoA_phi,AoD_theta,AoD_phi,First X-coordinate,First y-coordinate,Last X-coordinate,Last y-coordinate
562.0,-222.0,-103.544,4.26527e-07,91.5556,72.6995,88.4444,-107.301,562.0,-222.0,600.0,-100.0
564.0,-222.0,-103.504,4.24591e-07,91.5627,73.5596,88.4373,-106.44,564.0,-222.0,600.0,-100.0
566.0,-222.0,-103.466,4.22751e-07,91.5695,74.4275,88.4305,-105.573,566.0,-222.0,600.0,-100.0
568.0,-222.0,-103.43,4.21009e-07,91.576,75.3027,88.424,-104.697,568.0,-222.0,600.0,-100.0
570.0,-222.0,-103.396,4.19367e-07,91.5821,76.185,88.4179,-103.815,570.0,-222.0,600.0,-100.0
572.0,-222.0,-103.364,4.17824e-07,91.588,77.074,88.412,-102.926,572.0,-222.0,600.0,-100.0
574.0,-222.0,-103.334,4.16383e-07,91.5935,77.9694,88.4065,-102.031,574.0,-222.0,600.0,-100.0
576.0,-222.0,-103.306,4.15043e-07,91.5986,78.8708,88.4014,-101.129,576.0,-222.0,600.0,-100.0
578.0,-222.0,-103.28,4.13812e-07,91.6268,79.7778,88.3732,-100.222,578.0,-222.0,600.0,-100.0
580.0,-222.0,-103.257,4.12688e-07,91.6666,80.6901,88.3334,-99.3099,580.0,-222.0,600.0,-100.0
582.0,-222.0,-103.235,4.11669e-07,91.7061,81.6071,88.2939,-98.3929,582.0,-222.0,600.0,-100.0
584.0,-222.0,-103.216,4.10756e-07,91.7454,82.5284,88.2546,-97.4716,584.0,-222.0,600.0,-100.0
586.0,-222.0,-103.199,4.0995e-07,91.7845,83.4537,88.2155,-96.5463,586.0,-222.0,600.0,-100.0
588.0,-222.0,-103.184,4.09251e-07,91.8232,84.3824,88.1768,-95.6176,588.0,-222.0,600.0,-100.0
590.0,-222.0,-103.171,4.08661e-07,91.8615,85.3141,88.1385,-94.6859,590.0,-222.0,600.0,-100.0
592.0,-222.0,-103.161,4.08178e-07,91.8995,86.2483,88.1005,-93.7517,592.0,-222.0,600.0,-100.0
594.0,-222.0,-103.153,4.07805e-07,91.937,87.1844,88.063,-92.8156,594.0,-222.0,600.0,-100.0
596.0,-222.0,-103.147,4.07528e-07,91.9205,88.1221,88.0795,-91.8779,596.0,-222.0,600.0,-100.0
598.0,-222.0,-103.143,4.07355e-07,91.8855,89.0608,88.1145,-90.9392,598.0,-222.0,600.0,-100.0
600.0,-222.0,-103.142,4.07292e-07,91.85,90.0,88.15,-90.0,600.0,-222.0,600.0,-100.0
602.0,-222.0,-103.143,4.07339e-07,91.814,90.9392,88.186,-89.0608,602.0,-222.0,600.0,-100.0
604.0,-222.0,-103.146,4.07495e-07,91.7775,91.8779,88.2225,-88.1221,604.0,-222.0,600.0,-100.0
606.0,-222.0,-103.152,4.0776e-07,91.7405,92.8156,88.2595,-87.1844,606.0,-222.0,600.0,-100.0
608.0,-222.0,-103.16,4.08134e-07,91.7032,93.7517,88.2968,-86.2483,608.0,-222.0,600.0,-100.0
610.0,-222.0,-103.17,4.08618e-07,91.6655,94.6859,88.3345,-85.3141,610.0,-222.0,600.0,-100.0
